ODA aid per person (constant 2007 US$),2007
Australia,126.9514747859
Austria,217.886746988
Belgium,184.5775047259
Canada,123.2907222726
Denmark,467.5602189781
Finland,185.158490566
France,160.1878444084
Germany,149.412837345
Greece,44.7960644007
Ireland,274.6889400922
Italy,67.4358016304
Japan,60.1091976517
Luxembourg,816.3695652174
Netherlands,379.5280487805
New Zealand,75.7819905213
Norway,786.5021097046
Portugal,45.5067698259
Spain,113.7123893805
Sweden,472.651416122
Switzerland,221.9499341238
United Kingdom,162.5708154506
United States,72.2329421126
